experiment,avg_acc_test_teacher,std_acc_test_teacher,avg_acc_test_student,std_acc_test_student,avg_acc_test_distilled,std_acc_test_distilled,final_acc_test_distilled,mutual_info_sd,mutual_info_td
CIFAR-10_0,10.062,0.114,9.97,0.126,9.999,0.109,9.88,0.533,0.091
CIFAR-10_1,10.066,0.115,9.961,0.132,10.068,0.124,10.02,0.257,0.077
CIFAR-10_2,10.076,0.11,10.099,0.105,10.101,0.112,10.15,0.561,0.21
CIFAR-10_3,10.11,0.129,10.066,0.092,10.096,0.105,10.04,0.618,0.257
Fashion_MNIST_0,76.714,1.947,76.047,1.637,77.27,2.02,78.89,2.256,1.476
Fashion_MNIST_1,77.696,2.186,76.128,1.78,78.237,2.107,79.92,2.273,1.579
Fashion_MNIST_2,79.469,2.139,76.989,1.882,78.21,2.341,78.93,2.235,1.599
Fashion_MNIST_3,80.293,2.105,76.676,2.112,78.84,2.227,80.59,2.24,1.617
IMDB_0,84.789,2.046,81.914,2.423,79.755,5.403,75.412,0.693,0.304
IMDB_1,85.865,1.557,83.207,3.12,82.278,4.244,80.068,0.691,0.34
IMDB_2,87.55,1.174,83.921,2.503,83.922,3.787,82.604,0.693,0.307
IMDB_3,87.534,1.292,85.281,1.968,85.574,2.408,86.028,0.681,0.379
IMDB_4,87.267,1.115,85.844,1.603,86.143,1.241,86.436,0.682,0.399
KMNIST_0,84.937,2.012,78.506,2.343,83.298,2.237,84.09,2.299,1.455
KMNIST_1,86.558,1.837,78.89,2.213,83.905,2.673,83.91,2.299,1.457
KMNIST_2,87.625,1.76,85.138,2.066,86.665,1.88,87.86,2.301,1.698
KMNIST_3,88.232,1.732,84.974,1.996,87.069,2.198,88.41,2.299,1.691
MNIST_0,91.359,1.725,89.694,1.455,91.146,2.034,92.77,2.296,1.733
MNIST_1,92.702,1.667,89.978,1.526,92.303,1.744,94.12,2.297,1.751
MNIST_2,94.258,1.509,91.47,1.602,93.248,2.145,94.7,2.296,1.876
MNIST_3,94.788,1.641,91.163,1.688,93.495,1.699,93.38,2.296,1.937
