,downsample,final_acc,avg_acc,total_training_time,avg_training_time,I_distilled
0,0.0,59.85,59.437777777777775,161.12197494506836,1.790244166056315,-1.8037104647349993e-05
1,0.01,60.45,59.42055555555556,141.9343602657318,1.57704844739702,-2.5308490029384253e-05
2,0.02,60.050000000000004,59.57111111111113,141.07735776901245,1.5675261974334718,-2.5855617354257432e-05
3,0.05,62.0,59.80111111111113,139.21571922302246,1.5468413247002495,-2.706836935403807e-05
4,0.1,59.95,59.33388888888888,135.7470190525055,1.5083002116945055,-2.9278211465040746e-05
5,0.15,60.099999999999994,58.99277777777778,128.2962498664856,1.4255138874053954,-3.611687838286809e-05
6,0.2,60.650000000000006,58.467222222222226,118.22964835166931,1.3136627594629924,-4.973515853070446e-05
7,0.25,59.550000000000004,57.89833333333335,110.16000843048096,1.2240000936720106,-6.979103087588015e-05
8,0.3,58.699999999999996,57.74166666666669,103.15841794013977,1.1462046437793307,-0.00010313272711033773
9,0.35,57.699999999999996,57.37722222222219,97.07189321517944,1.0785765912797716,-0.00017291622441159077
10,0.4,57.699999999999996,56.050555555555555,92.64879059791565,1.0294310066435073,-0.00029933258219347515
11,0.45,53.25,52.946666666666665,89.97705221176147,0.9997450245751275,-0.0006885227806220567
